Number of threads | Number of tasks | Number of iterations | Average time in ms | Standard derivation in ms
-----------------------------------------------------------------------------------------------------------
                 1|                1|                   500|              124,60|                     36,96
                 1|               10|                   500|               87,24|                     12,66
                 1|           480000|                   500|              306,52|                     40,16
                 4|                4|                   500|               55,89|                     12,55
                 4|               40|                   500|               29,99|                     13,01
                 4|           480000|                   500|              319,05|                     43,77
                 8|                8|                   500|               41,32|                     14,01
                 8|               80|                   500|               21,08|                      5,62
                 8|           480000|                   500|              324,68|                     51,62
                16|               16|                   500|               29,68|                     21,27
                16|              160|                   500|               18,19|                      6,64
                16|           480000|                   500|              374,13|                     41,14
-----------------------------------------------------------------------------------------------------------
                 1|                1|                  1000|              165,74|                     33,57
                 1|               10|                  1000|              159,37|                     28,92
                 1|           480000|                  1000|              312,37|                     51,26
                 4|                4|                  1000|               86,66|                     28,02
                 4|               40|                  1000|               49,58|                     22,60
                 4|           480000|                  1000|              285,27|                     42,66
                 8|                8|                  1000|               69,65|                     22,40
                 8|               80|                  1000|               23,68|                      0,26
                 8|           480000|                  1000|              329,74|                     55,44
                16|               16|                  1000|               52,99|                     39,96
                16|              160|                  1000|               26,52|                      1,60
                16|           480000|                  1000|              374,70|                     55,11
-----------------------------------------------------------------------------------------------------------
                 1|                1|                 10000|             1363,32|                     34,61
                 1|               10|                 10000|             1350,82|                     21,77
                 1|           480000|                 10000|             1496,38|                     69,77
                 4|                4|                 10000|              703,65|                     37,81
                 4|               40|                 10000|              362,98|                     22,07
                 4|           480000|                 10000|              559,01|                     98,28
                 8|                8|                 10000|              582,19|                     21,47
                 8|               80|                 10000|              199,02|                      9,03
                 8|           480000|                 10000|              427,68|                     74,46
                16|               16|                 10000|              366,99|                     27,49
                16|              160|                 10000|              283,31|                     45,93
                16|           480000|                 10000|              513,60|                    101,78
-----------------------------------------------------------------------------------------------------------
